level	page_num	block_num	par_num	line_num	word_num	left	top	width	height	conf	text
1	1	0	0	0	0	0	0	2483	3508	-1	
2	1	1	0	0	0	278	211	1837	83	-1	
3	1	1	1	0	0	278	211	1837	83	-1	
4	1	1	1	1	0	278	211	1837	83	-1	
5	1	1	1	1	1	278	213	177	36	96.046173	increasing
5	1	1	1	1	2	467	213	249	28	96.612602	concentration
5	1	1	1	1	3	726	213	35	28	96.687431	of
5	1	1	1	1	4	771	213	166	28	96.423080	substrate
5	1	1	1	1	5	2033	211	82	83	0.000000	4
2	1	2	0	0	0	228	269	1950	78	-1	
3	1	2	1	0	0	228	269	1950	78	-1	
4	1	2	1	1	0	228	269	1382	36	-1	
5	1	2	1	1	1	228	278	13	13	87.226723	=
5	1	2	1	1	2	275	269	61	28	85.742279	The
5	1	2	1	1	3	348	269	224	36	85.742279	investigation
5	1	2	1	1	4	583	276	60	21	89.213211	can
5	1	2	1	1	5	655	269	43	28	89.213211	be
5	1	2	1	1	6	709	269	161	36	95.500778	repeated
5	1	2	1	1	7	882	269	42	36	96.445854	by
5	1	2	1	1	8	933	269	129	36	96.004303	altering
5	1	2	1	1	9	1072	269	56	28	96.004303	the
5	1	2	1	1	10	1139	269	47	36	95.156212	pH
5	1	2	1	1	11	1197	269	71	33	95.156212	(use
5	1	2	1	1	12	1279	269	108	28	96.180946	buffer
5	1	2	1	1	13	1395	269	170	33	96.043587	solutions)
5	1	2	1	1	14	1575	276	35	21	96.513519	or
4	1	2	1	2	0	1967	315	211	32	-1	
5	1	2	1	2	1	1967	315	89	32	96.463097	Your
5	1	2	1	2	2	2067	319	111	28	96.639023	notes
2	1	3	0	0	0	276	328	221	33	-1	
3	1	3	1	0	0	276	328	221	33	-1	
4	1	3	1	1	0	276	328	221	33	-1	
5	1	3	1	1	1	276	328	221	33	95.467438	temperature
2	1	4	0	0	0	266	425	93	94	-1	
3	1	4	1	0	0	266	425	93	94	-1	
4	1	4	1	1	0	266	425	93	94	-1	
5	1	4	1	1	1	266	425	93	94	37.126736	oO
2	1	5	0	0	0	269	558	519	45	-1	
3	1	5	1	0	0	269	558	519	45	-1	
4	1	5	1	1	0	269	558	519	45	-1	
5	1	5	1	1	1	269	559	200	36	96.470810	Examiner
5	1	5	1	1	2	476	559	88	44	95.854942	Tips
5	1	5	1	1	3	574	558	80	37	95.854942	and
5	1	5	1	1	4	663	558	125	37	96.104927	Tricks
2	1	6	0	0	0	266	653	1430	149	-1	
3	1	6	1	0	0	266	653	1430	149	-1	
4	1	6	1	1	0	266	653	1430	36	-1	
5	1	6	1	1	1	266	653	100	28	93.912483	When
5	1	6	1	1	2	378	653	223	36	93.912483	investigating
5	1	6	1	1	3	612	653	55	28	95.584305	the
5	1	6	1	1	4	678	653	107	28	96.290260	effect
5	1	6	1	1	5	796	653	35	28	96.416344	of
5	1	6	1	1	6	841	660	134	29	95.888847	enzyme
5	1	6	1	1	7	986	653	257	33	95.888847	concentration,
5	1	6	1	1	8	1256	653	46	36	88.887253	pH
5	1	6	1	1	9	1318	660	31	21	96.233070	or
5	1	6	1	1	10	1357	656	221	33	96.119827	temperature
5	1	6	1	1	11	1589	660	41	21	87.115608	on
5	1	6	1	1	12	1640	653	56	28	87.115608	the
4	1	6	1	2	0	268	710	1391	36	-1	
5	1	6	1	2	1	268	713	66	25	96.179115	rate
5	1	6	1	2	2	345	710	35	28	96.179115	of
5	1	6	1	2	3	390	717	38	21	95.083084	an
5	1	6	1	2	4	439	717	134	29	95.083084	enzyme
5	1	6	1	2	5	584	710	170	36	95.859215	catalysed
5	1	6	1	2	6	766	710	152	33	95.183723	reaction,
5	1	6	1	2	7	931	710	18	28	93.028625	it
5	1	6	1	2	8	960	710	23	28	93.028625	is
5	1	6	1	2	9	994	710	172	36	93.213898	important
5	1	6	1	2	10	1176	713	34	25	96.620903	to
5	1	6	1	2	11	1222	710	133	36	96.261742	provide
5	1	6	1	2	12	1366	717	38	21	95.803528	an
5	1	6	1	2	13	1415	710	198	28	94.260551	abundance
5	1	6	1	2	14	1624	710	35	28	96.601219	of
4	1	6	1	3	0	267	766	954	36	-1	
5	1	6	1	3	1	267	766	166	28	96.388794	substrate
5	1	6	1	3	2	443	769	35	25	94.689110	to
5	1	6	1	3	3	489	769	134	33	95.978722	prevent
5	1	6	1	3	4	634	766	19	28	95.978722	it
5	1	6	1	3	5	662	766	82	28	94.432304	from
5	1	6	1	3	6	756	766	178	36	95.916359	becoming
5	1	6	1	3	7	937	762	16	44	85.737495	a
5	1	6	1	3	8	974	766	123	36	85.737495	limiting
5	1	6	1	3	9	1108	766	113	28	96.504242	factor.
2	1	7	0	0	0	201	3226	2081	82	-1	
3	1	7	1	0	0	201	3226	2081	82	-1	
4	1	7	1	1	0	201	3226	2081	82	-1	
5	1	7	1	1	1	201	3226	49	82	96.968155	4
5	1	7	1	1	2	262	3248	310	47	91.673691	SaveMyExams
5	1	7	1	1	3	705	3254	27	27	96.527351	©
5	1	7	1	1	4	746	3254	82	27	96.527351	2026
5	1	7	1	1	5	841	3254	78	27	96.675499	Save
5	1	7	1	1	6	934	3254	49	36	96.645203	My
5	1	7	1	1	7	996	3254	117	32	96.396912	Exams,
5	1	7	1	1	8	1130	3252	59	29	94.789810	Ltd.
5	1	7	1	1	9	1230	3248	21	50	59.872204	|
5	1	7	1	1	10	1264	3254	58	27	73.204254	Get
5	1	7	1	1	11	1336	3261	89	20	96.781731	more
5	1	7	1	1	12	1438	3252	62	29	96.299324	and
5	1	7	1	1	13	1515	3261	56	20	96.902199	ace
5	1	7	1	1	14	1583	3261	79	29	96.397408	your
5	1	7	1	1	15	1674	3261	110	20	96.397408	exams
5	1	7	1	1	16	1797	3256	32	25	93.210045	at
5	1	7	1	1	17	1841	3261	327	29	91.305321	savemyexams.com
5	1	7	1	1	18	2242	3254	40	27	89.808502	30
